# Czas Amplituda
0.000000 -0.325000
0.002778 -0.273038
0.005556 -0.268038
0.008333 -0.320000
0.011111 -0.391962
0.013889 -0.396962
0.016667 -0.340000
0.019444 -0.263038
0.022222 -0.258038
0.025000 -0.315000
0.027778 -0.391962
0.030556 -0.406962
0.033333 -0.355000
0.036111 -0.283038
0.038889 -0.273038
0.041667 -0.305000
0.044444 -0.356962
0.047222 -0.386962
0.050000 -0.350000
0.052778 -0.318038
0.055556 -0.313038
0.058333 -0.350000
0.061111 -0.406962
0.063889 -0.416962
0.066667 -0.380000
0.069444 -0.318038
0.072222 -0.303038
0.075000 -0.325000
0.077778 -0.371962
0.080556 -0.371962
0.083333 -0.345000
0.086111 -0.313038
0.088889 -0.323038
0.091667 -0.360000
0.094444 -0.401962
0.097222 -0.401962
0.100000 -0.370000
0.102778 -0.313038
0.105556 -0.313038
0.108333 -0.350000
0.111111 -0.396962
0.113889 -0.416962
0.116667 -0.385000
0.119444 -0.333038
0.122222 -0.318038
0.125000 -0.350000
0.127778 -0.426962
0.130556 -0.441962
0.133333 -0.385000
0.136111 -0.338038
0.138889 -0.328038
0.141667 -0.405000
0.144444 -0.466962
0.147222 -0.476962
0.150000 -0.385000
0.152778 -0.303038
0.155556 -0.293038
0.158333 -0.360000
0.161111 -0.421962
0.163889 -0.441962
0.166667 -0.395000
0.169444 -0.323038
0.172222 -0.308038
0.175000 -0.355000
0.177778 -0.406962
0.180556 -0.401962
0.183333 -0.360000
0.186111 -0.313038
0.188889 -0.298038
0.191667 -0.325000
0.194444 -0.346962
0.197222 -0.356962
0.200000 -0.335000
0.202778 -0.298038
0.205556 -0.293038
0.208333 -0.320000
0.211111 -0.351962
0.213889 -0.336962
0.216667 -0.285000
0.219444 -0.238038
0.222222 -0.228038
0.225000 -0.230000
0.227778 -0.281962
0.230556 -0.296962
0.233333 -0.260000
0.236111 -0.218038
0.238889 -0.203038
0.241667 -0.260000
0.244444 -0.296962
0.247222 -0.321962
0.250000 -0.265000
0.252778 -0.218038
0.255556 -0.198038
